leaf_node,median_N,avg_ret,std,capm_alpha,capm_alpha_p,capm_beta,capm_beta_p,capm_R2,FF5_alpha,FF5_alpha_p
6,189.5,0.7455044935633579,0.04969797166208266,-0.4953404944027416,0.012743574445204742,0.9286870707647179,1.530035818896072e-53,0.6919064636149161,-0.8997241089319218,1.5069877210832372e-07
9,296.5,1.3891777372196739,0.035446839125134764,0.40440474985069086,0.011421525278125157,0.6192161695691509,7.448020108160123e-43,0.6071551220145288,-0.09258438252249504,0.4613730773105209
11,176.0,1.6757958130358286,0.05692576058248226,0.22677374881492576,0.15186327175026512,1.1802754804565423,3.573010278190706e-85,0.8500540615052057,0.47415848300835056,0.001024921766969129
14,85.0,0.690061139659291,0.05723153594382561,-0.6574821184063089,0.005300413014528156,1.0576352170934977,3.124158139283686e-51,0.675284778316564,-0.9534353781619008,4.778104178564489e-06
15,61.0,-0.3763185828737427,0.05932568563454412,-1.7174379657101249,3.6997360132104877e-10,1.0498717659870973,1.6797377027882968e-44,0.6215871604832136,-1.88817724877411,2.2512738326216798e-14
17,102.0,1.9531141387238735,0.04397546376562931,0.8076504689863987,9.073930762705191e-06,0.8134158093983709,6.412488896739486e-52,0.6803244430009173,0.2961144806578133,0.029029430213266844
20,125.0,1.5043245176801257,0.05055998868310332,0.27316442448247163,0.20124697782274137,0.9169825770872126,3.431279308214158e-48,0.6520357780931876,-0.12942667633575716,0.4712106636985227
21,478.5,1.1790701009023703,0.042755345281209965,-0.0304082497524447,0.7906359191246694,0.8907795233032128,3.9269893985323193e-88,0.8598276910895747,-0.41822862380741266,4.736475397819315e-09
32,51.0,1.5703154890478732,0.040251691756408345,0.4785667340851643,0.0034826126037447473,0.7484996801682028,2.110561359697624e-52,0.6838146276759374,0.12268569164504599,0.3391600045229326
33,57.0,2.203546559026914,0.044878746822193935,1.0639099401759209,1.0602639699569531e-07,0.8063736388957505,1.5820350264036554e-46,0.638620562465811,0.6706365349929968,1.6639813415249295e-05
