,single_sharpe,cum_sharpe,capm_alpha,capm_alpha_t,FF5_alpha,FF5_alpha_t,EF_alpha,EF_alpha_t,EF_R2,EF_alpha_R2
ft0,1.2466802590819894,1.2466802590819894,0.06194179375328532,15.63072230674567,0.057779195784743,14.394430908588262,0.09044309938288073,33.027668709894144,,0.8784978384689915
ft1,0.3113421263328581,1.3341231828501223,0.008257453345286117,2.5468861877224063,0.0018234208048047969,1.0998121609346028,-0.018704119594751368,-3.1441364054599568,,0.7913636721989348
ft2,0.6948735590323073,1.6205763681531185,0.04020186016157909,9.588400602951054,0.03800597842265738,8.837480354309347,0.1412054986232509,10.077954525756608,,0.6898848517864286
ft3,0.32395540353348273,1.7572014290443974,0.007969120782748447,3.0332161175467087,0.004059457376407096,1.733856750238991,-0.04642559903224617,-4.344187567086745,,0.7788026214170526
ft4,0.575622217260725,2.0097518398837577,0.02740767720449991,7.294766094422052,0.02331880436560972,7.213554080154074,0.13126163811355612,8.438916584201916,,0.5667854158007051
ft5,0.30707953706051627,2.1945182451205354,0.008712542647532765,2.8091102353713437,0.0033782016410300953,1.5332887725803392,-0.05818415429724452,-7.388342895592478,,0.7831798011482843
ft6,0.9536897066580357,2.496977609055098,0.059538378343672343,13.293348950325582,0.05441392730911539,11.091932466766918,0.1541418324613441,7.426903315322968,,0.4660775154517802
ft7,0.5209258738952011,2.654289126773888,0.021979197252260746,6.045168817292976,0.016878352455636923,4.793337395195608,-0.05909028319319721,-4.110952970105951,,0.6636341766130897
ft8,0.6229202239301791,2.896809371779205,0.02879255527615951,7.726228725993068,0.02880954430049084,8.167958607376448,0.1077807778673656,7.553693245903288,,0.49019903418808874
ft9,0.39260113860687096,3.0734820348743406,0.014913234881228588,3.7968450118358805,0.00904986353913121,2.58083105013317,-0.03977708347556925,-3.3290349958635543,,0.7392197936407238
ft10,0.629743770090151,3.267730329743583,0.019346987452236144,9.374750736273649,0.015001334845143058,7.1302232277973365,0.05962483390360432,7.196768492767514,,0.434535953993878
ft11,0.4542711324859652,3.4642963151568615,0.01706469386276143,5.643651219065705,0.011774681442368541,4.513718595044443,-0.023586225845122023,-2.7811251207374115,,0.7355752764324024
ft12,0.6259616218921578,3.7423395098756047,0.031929122140298256,5.9560179537707345,0.026423818881763525,7.707807585080815,0.08697332278700137,4.931178029265829,,0.5420199261848763
ft13,0.5148754427081639,3.9140970665989934,0.017371880709701235,6.1641853535865225,0.012534574433442174,4.859088093776306,-0.0445291566429149,-4.5991316160065505,,0.6562288943455699
ft14,0.6283564300206644,4.150810478202368,0.02376333460011,6.963438673383866,0.018829357048403293,6.8942295178300155,0.045106116408434836,3.744044141189328,,0.5535653204987627
ft15,0.4830953174318813,4.293132880893622,0.020167442272655534,5.290649008464591,0.013740539476624396,5.179644570141281,-0.04035323388386458,-4.230406608039437,,0.7798256013235725
ft16,0.6509719216332054,4.512212224881479,0.021333659994875548,7.383168845602484,0.01862581948504516,8.03881536875211,0.03790683729473193,4.570508388497575,,0.5610197246682028
ft17,0.4158679821006388,4.751910995294561,0.011958751293190736,4.512171048765222,0.008714289231265077,3.9798517629200587,-0.03420377266325271,-4.722164301968048,,0.7094467550450798
ft18,0.5674657989130477,4.938374170535001,0.020700318019181548,6.932708376345559,0.016855969926098543,6.267085717565023,0.042547539505316256,4.443274278277225,,0.6460186199653626
ft19,0.5230511252075641,5.1794541540403385,0.021874257706414026,5.746499329641671,0.016661901191515942,4.910771578249439,-0.05174528605316922,-4.591641104174709,,0.6556636101227418
ft20,0.6208312043225263,5.282395940701014,0.03195303538685608,9.705380496492214,0.031099411284609624,9.85544978378962,0.04965145110077324,2.726527067094678,,0.3766659254388698
