leaf_node,median_N,avg_ret,std,capm_alpha,capm_alpha_p,capm_beta,capm_beta_p,capm_R2,FF5_alpha,FF5_alpha_p
6,189.5,0.7455044935633499,0.04969797166208277,-0.49534049440274686,0.017004388657807637,0.9286870707647144,1.1066835437722791e-44,0.6919064636149079,-0.8997241089319284,4.8314985495378525e-12
9,296.5,1.3891777372196867,0.035446839125134834,0.40440474985070396,0.026093383759784726,0.6192161695691498,7.58295215637769e-20,0.6071551220145256,-0.0925843825224801,0.37606718019163254
11,176.0,1.6757958130358404,0.056925760582482256,0.22677374881493995,0.1573953891580646,1.180275480456539,9.948050957465148e-306,0.8500540615052012,0.47415848300836805,0.002404728829826373
14,85.0,0.6900611396593332,0.05723153594382608,-0.6574821184062709,0.007168286620875696,1.0576352170935035,8.527541975056954e-60,0.6752847783165599,-0.953435378161855,1.4163292666360751e-06
15,61.0,-0.376318582873738,0.05932568563454358,-1.7174379657101106,2.5268774767423967e-09,1.049871765987086,8.263495129780572e-66,0.6215871604832117,-1.8881772487740853,5.044141373415378e-14
17,102.0,1.9531141387238913,0.043975463765629275,0.8076504689864199,0.0016974298495135583,0.8134158093983663,6.671068744170247e-34,0.6803244430009111,0.29611448065783497,0.04876485181570354
20,125.0,1.5043245176801352,0.05055998868310337,0.2731644244824829,0.2523354447173395,0.9169825770872095,8.353942770457285e-45,0.6520357780931824,-0.12942667633574237,0.40239815777558463
21,478.5,1.1790701009023694,0.04275534528120988,-0.03040824975244408,0.8176121606401315,0.890779523303211,5.122840065255769e-68,0.859827691089574,-0.41822862380740927,6.2936374520298176e-12
32,51.0,1.5703154890478743,0.04025169175640825,0.47856673408516864,0.014159570767626193,0.7484996801682002,1.9728166235789855e-29,0.6838146276759359,0.12268569164505212,0.32934516700802763
33,57.0,2.203546559026889,0.04487874682219418,1.0639099401758894,8.21026574294121e-07,0.8063736388957576,1.294171738385006e-23,0.6386205624658159,0.670636534992965,3.842751204489056e-08
